The Ring (1927),The Farmers Wife (1928),Champagne (1928),The Manxman (1929),Blackmail (1929),Murder (1930),The Skin Game (1931),Rich and Strange (1931),Number Seventeen (1932)
1.21,8.75,8.04,1.7,15.46,4.5,NA,4.4,9.4
1.92,3.08,2.71,5.7,11.42,4.7,NA,1.6,0.7
1.5,2.54,6.92,1.8,9.04,4.9,NA,2,3.6
2.88,1.96,0.04,2,14.96,4,NA,1.1,2.6
5.46,2.29,4.46,2.9,32.83,3.3,NA,1.1,13.8
3.29,1.67,4.79,5.8,2.88,2.6,NA,1.6,31.3
4.42,8.33,3.42,1.6,31.67,2.7,NA,43,4.1
2.5,3.5,7.54,8.8,1.08,2,NA,3.6,2.8
2.75,5,15.25,1.6,2.96,2,NA,12.6,2.5
10.75,5.42,1.67,2.8,3.88,1.4,NA,4.6,0.5
1.04,1.5,4.25,4,45.67,1.3,NA,31.4,27.8
4.92,7.21,1.71,3.3,61.13,1.3,NA,2.3,9.7
1.71,1.63,8.5,5,4.08,1,NA,14.4,6.8
6.54,16.21,4.29,7.9,81.38,1,NA,2.4,0.4
11.88,19.08,6.71,8.8,8.58,1,NA,4.3,0.5
2.58,2,1.33,6.3,8.71,0.7,NA,1.8,0.4
5.88,2.58,3.96,4.2,7.42,0.7,NA,3.5,1.4
11.88,1.04,3.17,3.7,2.17,0.7,NA,8.9,2.5
0.79,1.88,4.13,2.8,2.29,0.5,NA,24.4,10.8
1.29,1.92,17.08,3.2,3.5,0.5,NA,13.3,1.5
1.96,3.58,3.79,2.3,5.08,1.9,NA,3.5,16.2
14.83,18.88,2.54,11.7,9,4,NA,4.2,1.1
4.5,17.29,4.54,8.9,3.13,78.3,NA,1.6,1.6
8.13,4.83,16.25,2.9,2.79,4.3,NA,5.2,1.4
3,8.92,5.29,10.9,6.54,21.4,NA,1,2.5
19.75,2.88,2,8.5,6,3.3,NA,26.6,0.7
2.38,3.21,11.96,3.3,3.83,33.5,NA,12.6,2.5
1.38,14.5,8.88,7.8,2.42,142.4,NA,10.4,2.7
4.17,2.63,13.5,4.5,2.33,19.4,NA,2,3
5.71,3.21,4.92,2.2,2,120.3,NA,1,8.2
4.83,9.17,8.38,3.6,1.92,1.3,NA,2.5,7
3.46,5.79,1.38,2.5,2.13,22.6,NA,1.9,4.3
3.67,1.04,9.96,4.1,2.21,3.1,NA,2.4,3
6,1.67,13.25,18.1,1.83,30.4,NA,0.2,2.2
4.29,4.58,22.75,6.5,2.08,9.3,NA,2.5,1.3
2.75,1.71,4.75,2.8,4.54,36.8,NA,3.3,10.4
15.13,5.63,2.58,5,4.13,1.7,NA,4.3,6.2
1.67,4.29,5.5,7.3,7.63,1.3,NA,3.1,1.3
3.54,2.04,5.17,2.6,5.25,5.2,NA,2.9,1.7
2.88,1.75,12.5,3.1,2.04,2,NA,22.7,8.3
8.54,5.67,7.54,6.9,2.21,1.3,NA,3.8,4.1
9.67,2.54,3.83,9.5,1.79,11.6,NA,16.4,4.2
7.17,6.33,7.71,6.5,2.13,1,NA,2.9,2
4.75,2.38,17.67,11.2,1.79,0.9,NA,6.2,2.5
3.33,9.58,1.38,4.2,3,94.9,NA,3.9,1.5
3.67,6.38,6.75,16.2,7.88,2.8,NA,8.6,1.4
6,1.5,2.33,2.8,3.54,9.2,NA,5.9,1.6
8.96,4.63,10.96,4,1.25,8.3,NA,6.4,1.8
2.88,14.42,2.21,9.8,4.33,6.5,NA,3.5,1.8
3.79,4.5,1.92,4.9,1.08,45.1,NA,14.5,4.2
1.04,6.63,5.5,5.8,1.92,1.6,NA,2.9,8
3.5,6.08,9.13,3.3,1.04,2.3,NA,15.9,1
2.29,4.75,3.67,4.2,1.83,9,NA,10.3,2.1
1.21,1.42,5.96,2,1.29,2,NA,1.7,0.1
2.33,3.13,9.42,8.1,1.67,46.8,NA,3.8,2.3
3.08,1.79,11.54,5.2,7,8.1,NA,58.7,1.4
4,1.67,2.29,1.5,1.21,9.3,NA,5.5,3
6.5,1,7.71,9.8,4.04,6.1,NA,3.2,2.3
11.38,5.83,3.46,2.2,1.79,19.2,NA,30.1,7.1
16.58,5.79,16.92,4.9,3.75,3.8,NA,5.3,7
15.71,5.71,4.54,1.9,4.67,6,NA,1.7,1.9
11.79,5.88,14.5,8.2,3.71,7.2,NA,6.4,10.6
24.42,1.96,8.71,12.3,1.92,5.4,NA,33.3,3.2
8.67,4,1.38,5.9,0.92,3.8,NA,1.6,1.7
8.29,5.33,1.92,7.3,3.79,14.1,NA,1.5,1.3
3.33,2.04,14,6.2,6.17,3.1,NA,3.9,8.6
6.92,3.75,4.25,6.3,11.71,4.2,NA,26.7,2.6
2.67,2.17,19.04,8.9,9.58,3.6,NA,5.3,3.6
3.46,13.71,10.71,12.9,2.54,22.2,NA,15.4,4.1
9.75,5.96,2.75,4.9,3.5,3.4,NA,13.7,1.4
10.5,2.88,2.79,1.9,8.29,2.3,NA,9.7,8.9
4.83,7.75,1.75,27.7,8.88,3.3,NA,18.8,2
1.96,0.88,5.54,7.8,11.46,7.1,NA,13.4,28.2
2.79,1.42,2.88,10.3,1.83,4.5,NA,2.4,7.9
1.92,4.5,12.38,13.4,19.54,12.4,NA,14,0.3
2.67,7.08,2.17,4.5,4.08,2,NA,16.9,6.9
22,1.04,11.71,7.7,1.67,4.9,NA,3.7,4.2
